SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1383000,-74.333333,41.161667,7.48886,-4.54666,883076,0.616267,6.7167,15.821746,286811008,-22250100000.0,70030100,65.1348,608.86,4.32693,0.541688,0.418128,0.408198,6.846932,6.599524,53.857723,53.607155,53.7674,6.62509,4.154738,4.15845,48578.1507,10.363854,0.729663316,13.09
1383500,-74.333611,41.160278,7.48792,-4.54692,883061,0.615878,1.19509,17.514188,286671008,-10078100000.0,70067500,65.1046,601.32,4.32897,0.541344,0.418128,0.408198,6.846932,6.599524,53.857723,53.607155,53.7674,6.62509,4.154738,4.15845,48578.1507,2.622187,0.729898385,7.0
1384500,-74.265833,41.127222,9.12947,-5.16801,571444,0.540488,1.33741,16.971291,497887008,-9625990000.0,43495300,56.4081,292.67,1.4994,0.46594,0.356143,0.418128,6.760249,6.593609,54.211857,54.003544,53.7897,6.76401,4.18639,4.20075,50219.7684,10.635417,1.16688125,14.02
1387400,-74.168611,41.140278,8.58493,-5.15332,2887850,0.463562,9.81845,16.624369,494928992,-39104600000.0,222637000,53.2757,295.78,3.41822,0.383666,0.418128,0.415589,6.742081,6.425012,54.891655,53.956878,54.5408,6.63149,4.193661,4.22523,47601.32627,2.407812,1.236980068,15.75
1387420,-74.160278,41.118333,8.69952,-5.17969,3004720,0.444508,5.13453,17.314184,486964000,20850400000.0,238676000,56.037,263.29,3.38682,0.366741,0.356143,0.414555,6.742081,6.437399,54.891655,53.997168,54.4099,6.76037,4.19568,4.23612,47181.60902,3.276354,1.301709279,18.88
1387450,-74.116111,41.141111,7.15333,-5.03788,432048,0.421337,6.5163,15.137171,281436992,8346500000.0,32631400,83.6221,321.57,7.36463,0.336576,0.40726,0.406707,6.572191,6.48023,55.24678,55.085408,54.9607,6.56971,4.237546,4.23717,49753.24715,1.528542,1.139825557,10.66
1387500,-74.162778,41.098056,7.98817,-5.09267,3904280,0.436081,14.3691,16.535557,422747008,11938200000.0,311260000,56.6911,253.1,5.45112,0.360319,0.356143,0.407777,6.881415,6.477253,55.24678,54.20615,54.2882,6.83269,4.206886,4.24173,43420.90701,3.965521,1.208729522,15.77
1375000,-73.858889,41.225028,6.11523,-4.38836,12292800,0.308058,11.2593,17.933557,287668000,7048440000.0,978728000,40.0628,43.12,5.57913,0.140038,0.345965,0.354286,6.734938,6.113862,56.327961,53.426042,55.9039,6.13435,4.252196,4.26634,58365.26625,2.537708,1.332354618,13.21
1376800,-73.963889,41.095556,4.34319,-4.23527,1118170,0.276035,6.5868,16.077321,157274000,4860380000.0,81993400,31.9427,52.53,14.4786,0.179506,0.357088,0.393731,6.502198,6.366648,56.428116,56.004445,56.2288,6.46221,4.265732,4.28255,49278.12227,3.591979,1.336660546,11.5
1374901,-73.665556,41.266111,5.89661,-4.30475,980080,0.259773,8.21465,15.723909,326313984,14851200000.0,76930600,36.1377,203.26,3.62905,0.017097,0.345965,0.280487,6.422079,6.093426,55.129429,53.639395,54.866,6.00681,4.304735,4.29079,71974.4741,1.379583,1.253085622,7.04
