SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
137462010,-73.69375,41.411806,6.75362,-4.41875,1308120,0.408136,3.02559,17.00555,294416000,1175600000.0,103394000,44.4426,446.96,2.1246,1.026102,0.381326,0.381326,0.928858,0.589704,31.948652,30.935908,31.9235,0.8754,1.328366,1.31974,81338.95738,2.81725,1.186034228,5.23
1374701,-73.667972,41.358,6.44212,-4.34098,2949840,0.350446,13.2968,16.335561,293465984,-49713200000.0,207494000,41.2559,205.48,5.30473,0.967285,0.352202,0.379492,1.31341,0.748686,32.511047,31.340198,32.3509,1.06089,1.319411,1.31154,77398.56728,4.696875,1.149707802,6.36
1374821,-73.655639,41.327111,5.69581,-4.36806,6486790,0.318005,1.95202,19.035335,275052000,-124668000.0,61881100,39.6609,199.49,3.07628,0.934197,0.352202,0.267442,2.296324,1.810847,32.514771,31.227598,32.5862,1.07313,1.263803,1.30688,77732.33576,2.155729,1.007950825,5.85
1374930,-73.768694,41.338139,4.85814,-3.76913,438021,0.357825,3.03872,15.907212,179895008,3690880000.0,34539200,30.2878,498.21,10.6561,0.975859,0.352202,0.369646,0.719569,0.597855,32.449543,31.942809,32.4495,0.571892,1.341799,1.34829,74113.23479,4.613021,1.296682527,7.85
1374941,-73.753639,41.287611,4.55407,-3.65777,1007900,0.305208,0.651558,18.215673,155268992,9748630000.0,50506300,28.5025,313.93,10.2111,0.923139,0.352202,0.364135,0.719569,0.603827,33.120602,32.183945,33.1206,0.578772,1.343441,1.35219,71008.15107,9.109792,1.225604879,11.3
137449480,-73.556083,41.44725,6.7901,-4.5828,1946720,0.398057,0.386203,19.34293,270016000,1580180000.0,154640000,54.6565,414.81,3.6303,1.022363,0.279366,0.29771,2.08044,1.256041,32.565933,31.773781,31.1169,1.78854,1.276037,1.26202,88460.93341,3.955104,1.288033403,9.23
1374505,-73.607472,41.394583,6.50866,-4.45221,2592720,0.370593,12.3056,16.286273,266675008,9700830000.0,205081000,50.4753,315.74,4.4889,0.985841,0.279366,0.292523,2.187613,1.403485,32.565933,31.566029,31.5753,1.53394,1.273931,1.28213,83549.62689,3.757292,1.159948724,6.26
1374531,-73.639583,41.373389,6.4904,-4.43816,2924290,0.360568,1.42026,18.546203,269865984,344180000.0,219196000,49.291,270.5,5.13362,0.974283,0.352202,0.293708,2.187613,1.403477,32.565933,31.575161,31.9977,1.2863,1.274874,1.29693,82333.45368,2.472708,1.218154911,7.65
1374781,-73.591472,41.327361,5.60845,-4.61122,552958,0.303099,5.53194,15.547339,259660000,-1934700000.0,33444100,39.2535,331.84,4.2358,0.916809,0.258539,0.258539,2.296324,2.04962,31.731365,30.672288,31.7314,1.61968,1.247937,1.27567,80873.35558,2.266146,0.928704439,4.77
1374559,-73.759583,41.470472,6.95186,-4.72131,369281,0.481995,14.1579,14.192663,332233984,-8706530000.0,28273400,38.7063,586.6,0.944524,1.100598,0.381326,0.381326,0.475416,0.403787,30.709866,30.188942,30.7331,0.494721,1.341517,1.33736,83404.89377,1.503437,1.042717591,4.27
1374598,-73.689472,41.475861,6.02025,-4.66818,137751,0.470245,4.00981,14.476887,273647008,8392130000.0,10398000,45.9744,539.63,2.54435,1.086518,0.381326,0.381326,0.787706,0.675269,31.469175,31.188027,31.4692,0.787706,1.31514,1.31327,88948.34114,1.303229,1.24370986,3.84
