SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1387905,-74.25,41.0275,7.89224,-5.09823,4869240,0.470726,0.130191,21.120721,407912992,1891220.0,371084000,56.9732,200.0,7.12621,0.645131,0.257483,0.251112,1.300448,1.110849,55.915684,54.470345,54.2593,1.27921,1.203839,1.26915,40253.41554,4.156979,1.20000943,5.52
1387940,-74.274444,41.007222,7.7002,-5.06916,4991080,0.463556,0.950133,19.463902,399876992,51618900.0,398295000,55.2276,190.96,7.73954,0.635584,0.257483,0.25155,1.321036,1.122143,55.915684,54.470196,53.8437,1.33363,1.207252,1.29006,37197.56634,10.397396,1.12777253,10.94
1387998,-74.278889,40.992778,7.59668,-5.03576,5178100,0.453118,10.6381,17.12684,395097984,-32750900000.0,413176000,54.1548,190.96,7.91345,0.63968,0.257483,0.251767,1.350016,1.129078,55.915684,54.45102,53.7159,1.35109,1.209769,1.29006,36249.52204,10.170729,1.086120646,10.68
1388000,-74.28,40.991944,7.59712,-5.03582,5181130,0.452952,3.18325,18.332007,395272992,-17515800000.0,413263000,54.1466,171.35,7.92279,0.639198,0.257483,0.251767,1.350016,1.129078,55.915684,54.45102,53.7159,1.35109,1.209769,1.29071,36246.78402,6.863696,1.086298648,7.99
1388100,-74.279444,40.985556,7.59209,-5.03487,5186990,0.447153,4.43744,18.005008,394854016,1433260000.0,414005000,54.0804,175.3,7.98079,0.643128,0.257483,0.251773,1.351088,1.129512,55.915684,54.449581,53.7159,1.35109,1.209769,1.29071,36226.07757,0.606424,1.087987442,1.67
1388500,-74.281944,40.969722,7.38849,-4.9385,11480400,0.434885,5.77628,18.537386,389532992,-11746200000.0,916303000,49.8236,160.0,5.62552,0.649611,0.257483,0.25459,2.1872,1.325978,55.915684,53.1509,53.5171,1.37295,1.283326,1.29125,34356.36309,7.715729,1.163086984,9.59
1388700,-74.3025,40.924722,4.48689,-4.41644,417608,0.409522,7.07297,15.02112,175663008,21881500000.0,33132200,36.5262,170.0,13.1483,0.656734,0.257483,0.257483,1.454948,1.431396,53.392426,53.028845,52.6802,1.45137,1.327831,1.31358,40132.93303,3.561875,1.539029263,4.53
1388910,-74.270556,40.914444,7.15684,-4.89509,12226300,0.382386,0.637455,20.731491,374804000,845272000.0,976538000,48.4473,156.5,6.36406,0.689149,0.257483,0.254765,2.1872,1.331812,55.915684,53.145644,52.5925,1.45398,1.284948,1.29232,31789.37838,2.576563,1.125328724,4.51
1389005,-74.269167,40.896389,5.69548,-4.64802,24301300,0.366861,0.117128,22.800534,273672992,-17802200.0,1916600000,38.3823,155.0,8.84265,0.700104,0.257483,0.279062,2.836504,1.551392,56.887661,52.289769,52.2551,1.48079,1.379678,1.29256,20039.70429,3.669688,1.125662971,5.15
1389010,-74.266111,40.894444,5.69513,-4.64792,24301500,0.363492,1.82235,20.422865,273656000,3493910000.0,1916770000,38.3792,155.0,8.84454,0.703726,0.257483,0.279062,2.836504,1.551362,56.887661,52.289754,52.2551,1.48079,1.379678,1.28267,20039.12519,2.669688,1.125744669,4.11
1377370,-74.039167,41.036667,3.31426,-4.54533,514020,0.2985,11.3853,14.747683,96159904,46471700000.0,41119500,23.4407,129.9,29.6172,0.817324,0.262888,0.255117,1.01611,0.973871,56.78091,56.379157,56.6311,0.977864,1.153923,1.16636,44651.92125,2.7375,1.280711141,3.58
1377451,-74.048056,41.011944,3.31031,-4.49143,652788,0.294101,5.09678,15.794834,96366896,-26802200000.0,49972600,23.0533,59.08,28.0423,0.823257,0.262888,0.256493,1.01611,0.978433,56.78091,56.39948,56.5919,0.996647,1.158809,1.17662,43293.6058,1.359479,1.340479211,2.01
1377500,-74.021111,40.992778,3.15559,-4.4666,949087,0.261447,4.9884,16.190445,115491000,-11407200000.0,75311200,20.2248,28.62,26.0679,0.856289,0.262888,0.258612,1.039044,0.988071,56.847088,56.459894,56.8377,0.964457,1.166755,1.16762,39482.60219,1.553125,1.414232683,2.44
1378500,-74.026667,40.948333,3.38801,-4.20953,3283270,0.250702,4.88062,17.453239,133541000,18369100000.0,249975000,23.6552,6.25,21.3435,0.875716,0.262888,0.251898,1.039044,0.934153,57.579224,56.726674,56.7045,0.986074,1.133919,1.17576,37729.29109,1.531979,1.3723147,1.63
1389765,-74.184722,40.953056,4.72696,-4.7279,166204,0.376593,3.57781,14.77728,189511008,29555000000.0,10505300,38.6209,209.68,16.6938,0.740342,0.257483,0.257483,1.243661,1.217318,55.293068,54.984675,55.0945,1.21436,1.242777,1.23788,41034.21443,3.367674,1.427776089,5.08
1389802,-74.181667,40.915833,5.59258,-4.64217,25414100,0.340989,1.36387,20.747383,266343008,-4798060000.0,2036490000,37.9734,100.0,10.1472,0.763089,0.257483,0.278976,2.836504,1.539147,56.887661,52.384185,55.1035,1.22817,1.373263,1.23797,19500.35538,115.213333,1.174195968,115.99
1390450,-74.095556,41.058611,3.49995,-4.63023,344667,0.358141,0.727151,17.041288,78066496,4417900000.0,25097000,33.0515,185.16,13.0151,0.758044,0.262888,0.262888,1.053448,1.014598,56.396961,56.114165,56.0435,1.04603,1.174997,1.18964,46074.23531,1.605625,1.569040759,3.25
1390500,-74.090556,40.985,3.48609,-4.64062,660748,0.322725,6.7944,15.520195,94056200,21066600000.0,52397600,32.4235,71.74,12.2586,0.802152,0.262888,0.262888,1.07946,1.032539,56.396961,56.115496,56.2971,1.056,1.18601,1.19394,41067.10733,0.627396,1.385284032,2.67
